ESPECIALIDAD;CODIGO PRESTACION;PROCEDIMIENTO A REALIZAR;MEDIO DE CONTRASTE;REQUIERE_LATERALIDAD
NEURORADIOLOGÍA;405001;RM DE CEREBRO;NO;NO
NEURORADIOLOGÍA;405001;RM DE HIPÓFISIS;SI;NO
NEURORADIOLOGÍA;405001;RM DE OÍDOS;SI;NO
NEURORADIOLOGÍA;405003;RM DE ÓRBITAS;SI;NO
NEURORADIOLOGÍA;405005;RM DE COLUMNA CERVICAL;NO;NO
NEURORADIOLOGÍA;405006;RM DE COLUMNA DORSAL;NO;NO
NEURORADIOLOGÍA;405007;RM DE COLUMNA LUMBAR;NO;NO
NEURORADIOLOGÍA;405011;RM DE COLUMNA SACROCOXÍGEA;NO;NO
NEURORADIOLOGÍA;405011;RM DE COXIS;NO;NO
NEURORADIOLOGÍA;405016;RM DE COLUMNA TOTAL;NO;NO
NEURORADIOLOGÍA;;RM DE COLUMNA CERVICODORSAL;NO;NO
NEURORADIOLOGÍA;;RM DE COLUMNA DORSOLUMBAR;NO;NO
NEURORADIOLOGÍA;;RM DE COLUMNA CERVICAL DINÁMICA (Flexión-Extensión);NO;NO
NEURORADIOLOGÍA;;RM DE COLUMNA LUMBAR DINÁMICA (Flexión-Extensión);NO;NO
NEURORADIOLOGÍA;;RM DE PLEXOS BRAQUIALES;SI;SI
NEURORADIOLOGÍA;;RM DE PLEXOS LUMBARES;SI;NO
;;;;
MÚSCULO ESQUELÉTICO;405028;RM DE ORTEJO (S)  DEL PIÉ;NO;SI
MÚSCULO ESQUELÉTICO;405028;RM DE PIÉ;NO;SI
MÚSCULO ESQUELÉTICO;405028;RM DE ANTEPIÉ O MEDIOPIÉ;NO;SI
MÚSCULO ESQUELÉTICO;405028;RM DE TOBILLO O RETROPIÉ;NO;SI
MÚSCULO ESQUELÉTICO;405029;RM DE PIERNA;NO;SI
MÚSCULO ESQUELÉTICO;405013;RM DE RODILLA;NO;SI
MÚSCULO ESQUELÉTICO;405030;RM DE MUSLO;NO;SI
MÚSCULO ESQUELÉTICO;405030;RM DE CADERA;NO;SI
MÚSCULO ESQUELÉTICO;405011;RM DE SÍNFISIS PÚBICA;NO;NO
MÚSCULO ESQUELÉTICO;405011;RM DE PELVIS ÓSEA o MÚSCULO ESQUELÉTICA;NO;NO
MÚSCULO ESQUELÉTICO;405011;RM DE GLÚTEO;NO;SI
MÚSCULO ESQUELÉTICO;405011;RM DE ART. SACROILIÁCAS;SI;NO
MÚSCULO ESQUELÉTICO;405024;RM DE DEDO (S) DE LA MANO;NO;SI
MÚSCULO ESQUELÉTICO;405024;RM DE MUÑECA;NO;SI
MÚSCULO ESQUELÉTICO;405024;RM DE MANO;NO;SI
MÚSCULO ESQUELÉTICO;;RM DE MANOS (A.R.);SI;NO
MÚSCULO ESQUELÉTICO;405025;RM DE ANTEBRAZO;NO;SI
MÚSCULO ESQUELÉTICO;405026;RM DE CODO;NO;SI
MÚSCULO ESQUELÉTICO;405025;RM DE BRAZO;NO;SI
MÚSCULO ESQUELÉTICO;405009;RM DE ESCÁPULA;NO;SI
MÚSCULO ESQUELÉTICO;405027;RM DE HOMBRO;NO;SI
MÚSCULO ESQUELÉTICO;405009;RM DE PARRILLA COSTAL;NO;NO
MÚSCULO ESQUELÉTICO;;RM DE TÓRAX (Protocolo SOT - SST);SI;NO
MÚSCULO ESQUELÉTICO;405009;RM DE TÓRAX ÓSEO o MÚSCULO ESQUELÉTICO;;NO
MÚSCULO ESQUELÉTICO;405009;RM DE ESTERNÓN;NO;NO
MÚSCULO ESQUELÉTICO;405009;RM DE CLAVÍCULA;NO;NO
